iter	TotalF1	Logloss
0	0.6866808448	0.6901465644
1	0.6866808448	0.6872340288
2	0.68850096	0.6843965765
3	0.6887828799	0.6816593888
4	0.6887628236	0.6790030167
5	0.6886894737	0.676401153
6	0.6888171109	0.6738803607
7	0.6888001812	0.6714482149
8	0.6888382731	0.6691682317
9	0.6888544537	0.6668695161
10	0.6888460295	0.6646074464
11	0.6887008318	0.6624405744
12	0.6886945402	0.6604127626
13	0.6887970995	0.6583316708
14	0.6889926886	0.6563502806
15	0.6893420559	0.6544210955
16	0.6893072416	0.6525149934
17	0.6943510012	0.6506185645
18	0.6894821233	0.6487926638
19	0.6894743808	0.6470485511
20	0.6950364293	0.6453730217
21	0.6964594741	0.6436944213
22	0.6967223459	0.6421027784
23	0.6976722945	0.640513541
24	0.6977433903	0.6389277328
25	0.6977343784	0.6374581578
26	0.6978689536	0.6360049097
27	0.6979836499	0.6345933746
28	0.699183089	0.6331985758
29	0.6994208388	0.6318248638
30	0.6995793845	0.630497164
31	0.6996541637	0.6292053936
32	0.6994144019	0.6279067649
33	0.6997023794	0.6266277387
34	0.6999441856	0.6254554771
35	0.6999026137	0.6242961645
36	0.6999882253	0.623196939
37	0.6999943406	0.6220944379
38	0.6998594011	0.6209481766
39	0.7003858511	0.6199765978
40	0.7007292947	0.6189026559
41	0.7007153905	0.617893817
42	0.7008517646	0.6169381044
43	0.7009734848	0.616006652
44	0.7013256041	0.6150384
45	0.7014081453	0.6140443525
46	0.7013389766	0.613055116
47	0.7012026231	0.6121074902
48	0.7013897169	0.611252247
49	0.7019241388	0.610423567
50	0.7019217702	0.6095764105
51	0.7017677337	0.6087054545
52	0.7017525088	0.6078376207
53	0.701709845	0.6070149289
54	0.7019996823	0.6062428045
55	0.7015339625	0.6054367468
56	0.7017060297	0.6046573546
57	0.7024484102	0.6038941869
58	0.7021216468	0.6031250822
59	0.7024654003	0.6024492302
60	0.7020175884	0.6017247558
61	0.7023987053	0.6010428644
62	0.70313293	0.6003830323
63	0.7030647176	0.5996990424
64	0.7033555172	0.5990874233
65	0.7031616795	0.5984195556
66	0.7032166462	0.5977778417
67	0.7036231225	0.5971450334
68	0.7035836644	0.5965284496
69	0.7035406664	0.5958914956
70	0.7042797842	0.5953022427
71	0.7043309203	0.5948271247
72	0.7043509309	0.5942363364
73	0.704338619	0.593763368
74	0.7044261272	0.5932398834
75	0.7044518495	0.5926807765
76	0.7044419555	0.5921276578
77	0.7044661249	0.5916051456
78	0.7045860921	0.5910970155
79	0.7044954435	0.5905742986
80	0.7044460377	0.5900733339
81	0.7047002326	0.5896174601
82	0.7048455643	0.5892186537
83	0.7049127917	0.5887871935
84	0.7049376716	0.5883582923
85	0.7049204159	0.5879001666
86	0.7048705197	0.5874728009
87	0.7048605601	0.5870434903
88	0.7049187451	0.5866300971
89	0.7048979628	0.5862306765
90	0.7050043708	0.5858533152
91	0.7050981357	0.5854463709
92	0.7051285016	0.5849940287
93	0.7057421304	0.5846437423
94	0.7051967161	0.5842629006
95	0.7059118628	0.5839151734
96	0.7060695844	0.5835704658
97	0.7064456137	0.5832329749
98	0.70691824	0.582914114
99	0.707553235	0.5825902374
100	0.7077596371	0.5822730143
101	0.7077763357	0.5818837788
102	0.7075624476	0.5815541187
103	0.7079326333	0.5812352066
104	0.7082943808	0.5809287317
105	0.7082816241	0.5806581862
106	0.7083745365	0.5803239708
107	0.7085219291	0.5800511733
108	0.7086072239	0.5797831357
109	0.7085655529	0.5794721056
110	0.7085321502	0.579169674
111	0.7085084066	0.578894471
112	0.7085989127	0.5786301184
113	0.7088382102	0.5783599824
114	0.7088780391	0.5780907676
115	0.7088781441	0.5777890013
116	0.7090878093	0.5774961918
117	0.7090587898	0.5771802483
118	0.7090893855	0.5769223958
119	0.7091095814	0.5766264643
120	0.7092553717	0.5763450171
121	0.7094734004	0.5760991922
122	0.7095629705	0.575788981
123	0.7097882351	0.5755306679
124	0.7097935358	0.5752744532
125	0.709890781	0.5750172661
126	0.7099596941	0.5747701617
127	0.7099972611	0.5745109785
128	0.7100773512	0.5742967326
129	0.7101601555	0.5740478881
130	0.7100236698	0.5738015003
131	0.7103150767	0.5735722582
132	0.7105604157	0.5733453705
133	0.7106350187	0.5731134159
134	0.7106479942	0.5728861188
135	0.7109446472	0.5726825699
136	0.710865952	0.5724960132
137	0.7109339341	0.5722707122
138	0.7112607601	0.5720565687
139	0.7112014421	0.5718656616
140	0.7111550462	0.5716570457
141	0.7113200823	0.571441981
142	0.7115238965	0.5712417589
143	0.7114785855	0.5710587338
144	0.7115950538	0.570858614
145	0.711576708	0.5706580336
146	0.7116467061	0.5704803826
147	0.7116748069	0.5702921881
148	0.7117761515	0.5700816274
149	0.7118073866	0.5698889801
150	0.7118631781	0.5697238685
151	0.7119398865	0.5695610089
152	0.7120626254	0.5693836138
153	0.7121195647	0.5692064745
154	0.7122550093	0.5690220675
155	0.7123860296	0.568825684
156	0.7124956787	0.5686324738
157	0.7125010426	0.5684566653
158	0.7126142604	0.5682236358
159	0.7125603599	0.5680386146
160	0.7126655714	0.5678867079
161	0.7127681286	0.5677192931
162	0.7128412749	0.5675798746
163	0.7128761026	0.5674442436
164	0.7129559765	0.5672918762
165	0.7130536761	0.5671090558
166	0.7130959895	0.5669482947
167	0.7131742167	0.5667976163
168	0.7132746712	0.5666604498
169	0.7131612544	0.5665002005
170	0.7133323472	0.5663482425
171	0.7134253469	0.5662082099
172	0.7134814191	0.5660448385
173	0.7136682325	0.5659080815
174	0.7136926145	0.5657812025
175	0.713819817	0.5656620007
176	0.7138581927	0.5655299524
177	0.713896663	0.5653790181
178	0.713950298	0.5652334579
179	0.7141116541	0.5650980827
180	0.7141216266	0.5649603021
181	0.7141372375	0.5647980567
182	0.7141727992	0.5646577169
183	0.7142301539	0.5645144599
184	0.7142695617	0.5643824115
185	0.7143090516	0.5642493908
186	0.7143809696	0.5641040352
187	0.7144705214	0.56396779
188	0.7146532198	0.5638467457
189	0.7148512299	0.5637033351
190	0.7148061437	0.5635471291
191	0.7149454878	0.5634207108
192	0.7149851118	0.5632810876
193	0.7150354542	0.56313824
194	0.7151017345	0.5630114633
195	0.7151712393	0.5628843284
196	0.7153118335	0.562774237
197	0.7153169894	0.5626694172
198	0.7154538992	0.5625168963
199	0.7153737721	0.5624163758
200	0.7154647511	0.5622682053
201	0.7154854207	0.5621462909
202	0.7156577186	0.5620117347
203	0.7157375354	0.5618945802
204	0.7157599371	0.5617875596
205	0.7157469495	0.5616618578
206	0.715781143	0.5615377938
207	0.7158563511	0.5614085093
208	0.7159724042	0.5612760515
209	0.7159867474	0.5611711806
210	0.7161560678	0.5610505969
211	0.7162030313	0.5609226943
212	0.7161799151	0.5607976067
213	0.7163324783	0.5606745151
214	0.7164214067	0.5605587937
215	0.7164080284	0.5604540763
216	0.7164624831	0.5603580598
217	0.7165262757	0.5602290312
218	0.7165549129	0.5601240579
219	0.716623762	0.5600393013
220	0.7166357634	0.5599446666
221	0.7167784832	0.5598399492
222	0.7167983334	0.5597499721
223	0.7168369039	0.5596383452
224	0.7169032778	0.5595439153
225	0.7169873567	0.5594431389
226	0.7170429623	0.5593368349
227	0.7170839927	0.5592525901
228	0.7171363422	0.5591598492
229	0.7172421705	0.5590530334
230	0.7172885593	0.5589594736
231	0.7173093063	0.558862894
232	0.7171714997	0.5587800311
233	0.7172038728	0.5586780264
234	0.7173162238	0.5585712105
235	0.7173190607	0.5584620915
236	0.7173872359	0.5583575277
237	0.7174692962	0.5582668852
238	0.7175061448	0.5581488095
239	0.7174671117	0.5580458834
240	0.7173983008	0.5579571347
241	0.7175464297	0.55786813
242	0.7176750302	0.5577558889
243	0.717657765	0.557671337
244	0.7177142974	0.5575747063
245	0.7177985846	0.5574695795
246	0.717795593	0.5573640432
247	0.7179969419	0.557279389
248	0.7179661216	0.5572065577
249	0.7180096901	0.5571139703
250	0.7180839973	0.5570224066
251	0.7180745842	0.5569432799
252	0.7181797549	0.5568744408
253	0.718141683	0.5567990504
254	0.7182171003	0.5567033921
255	0.7182714568	0.5566166906
256	0.7183260722	0.5565138158
257	0.7182747116	0.5564259371
258	0.7184210543	0.5563454286
259	0.7184571405	0.5562540696
260	0.7185963833	0.5561640925
261	0.7186848957	0.5560946903
262	0.7186584563	0.5560266701
263	0.7186267832	0.5559315236
264	0.7187188294	0.5558683656
265	0.7187351112	0.5557927193
266	0.7187410204	0.5557319157
267	0.7188762761	0.5556318046
268	0.7189040486	0.5555669577
269	0.7189975166	0.555472323
270	0.7189776668	0.555390842
271	0.7189576909	0.5553166288
272	0.7190059316	0.5552440023
273	0.7190379475	0.5551478322
274	0.7190382566	0.5550731584
275	0.7191439356	0.5549905002
276	0.7190893829	0.5549180783
277	0.719140877	0.5548321958
278	0.7192341369	0.5547495376
279	0.7192696528	0.5546865843
280	0.7193168057	0.5546093514
281	0.7193647806	0.5545448115
282	0.7194655059	0.5544791968
283	0.7194296712	0.5544151175
284	0.7194374593	0.5543445382
285	0.7195518587	0.5542662305
286	0.7194820814	0.554192222
287	0.7195449858	0.5541244577
288	0.7196013427	0.5540398546
289	0.7196130386	0.5539682517
290	0.7196508305	0.553908267
291	0.7197426472	0.5538343097
292	0.719818953	0.553771817
293	0.7199118419	0.5537141866
294	0.7199216399	0.5536480601
295	0.7199346849	0.55357528
296	0.7199890902	0.5534801847
297	0.7199493394	0.553418511
298	0.7201386406	0.5533344197
299	0.7201220271	0.5532724389
300	0.7201080154	0.5531982769
301	0.7201549345	0.5531201739
302	0.7202402906	0.5530538938
303	0.7202282416	0.5529791688
304	0.7201790442	0.552910995
305	0.7201666603	0.5528606324
306	0.7202771048	0.5527924586
307	0.7203028461	0.5527005878
308	0.7203236869	0.5526468472
309	0.7203628001	0.5525817955
310	0.7205015929	0.5525133658
311	0.7205322115	0.552452511
312	0.7205520745	0.5523790655
313	0.7205380649	0.5522941553
314	0.7207462294	0.5522337612
315	0.7207416596	0.5521767449
316	0.720776533	0.5521070357
317	0.7208433217	0.5520344603
318	0.7208745584	0.5519616802
319	0.720974228	0.5519034356
320	0.7210403281	0.5518275846
321	0.7210988558	0.5517518871
322	0.7211319813	0.5516946662
323	0.7212368184	0.5516299216
324	0.7213212292	0.5515515115
325	0.72128404	0.5514984363
326	0.7213494972	0.5514359948
327	0.7213827088	0.5513557934
328	0.721471955	0.5513034858
329	0.7216285863	0.5512449854
330	0.7215976716	0.5511909889
331	0.7216854525	0.5511245552
332	0.7218042677	0.5510637004
333	0.7218385823	0.551002692
334	0.721971406	0.5509415813
335	0.7220117242	0.5508796005
336	0.7219896391	0.5508298009
337	0.7220270682	0.5507807178
338	0.7220579736	0.5507216543
339	0.7221078575	0.5506709846
340	0.7221228288	0.550612177
341	0.7221805697	0.5505499403
342	0.7221581118	0.5504960974
343	0.7221498828	0.5504085258
344	0.7221013347	0.5503568324
345	0.7221284346	0.5502983831
346	0.7221489665	0.5502533434
347	0.7221378409	0.5502033391
348	0.7221825587	0.5501405393
349	0.7222792711	0.5500810664
350	0.7223508418	0.5500076721
351	0.7224358479	0.5499386282
352	0.7223916974	0.5498815097
353	0.7225181049	0.5498122611
354	0.7225547877	0.5497512015
355	0.7225325088	0.5496979215
356	0.7226487897	0.5496530354
357	0.7226274611	0.5496020074
358	0.7227481117	0.5495274871
359	0.7227229575	0.5494815261
360	0.7226991594	0.5494319824
361	0.7227006617	0.5493784465
362	0.7228324443	0.5493167216
363	0.7227687934	0.5492489061
364	0.7227742363	0.5491928111
365	0.7228299795	0.5491385075
366	0.7229177013	0.5490899363
367	0.7229714165	0.5490359909
368	0.7229461285	0.5489936638
369	0.7229070794	0.5489292775
370	0.7229897572	0.5488789149
371	0.7229920723	0.5488341822
372	0.7231177203	0.5487824889
373	0.7230849596	0.548741646
374	0.723193753	0.5486991654
375	0.7231428873	0.5486428657
376	0.7231876398	0.5485929125
377	0.7232474668	0.5485472074
378	0.7232320933	0.5485052898
379	0.7232723292	0.5484555413
380	0.7233578477	0.5484087102
381	0.7233719565	0.5483725761
382	0.7233934405	0.5483152528
383	0.7234826411	0.5482708784
384	0.7235587806	0.548234949
385	0.7235540477	0.5481815666
386	0.7235596308	0.5481365781
387	0.7236096505	0.5480845777
388	0.7235971093	0.548045475
389	0.7236325995	0.5479959825
390	0.7236354365	0.5479437261
391	0.7236778855	0.5478981234
392	0.7236993688	0.5478651113
393	0.723740531	0.5478008785
394	0.7237768796	0.5477402284
395	0.7237092519	0.547695854
396	0.7239078246	0.5476444166
397	0.7240264789	0.5475997351
398	0.7240872168	0.5475486048
399	0.7241526573	0.5474939941
400	0.724203535	0.5474402023
401	0.7242833091	0.5473871783
402	0.7242875171	0.5473394259
403	0.7243342442	0.5472927484
404	0.724399128	0.5472467874
405	0.7244015078	0.547210039
406	0.7244496152	0.5471688891
407	0.7244229335	0.5471295305
408	0.7244560955	0.5470821876
409	0.724386443	0.5470197461
410	0.7244564762	0.5469745529
411	0.7244373815	0.5469330958
412	0.7245256847	0.5468926112
413	0.7244691608	0.5468520243
414	0.7245173212	0.5467999215
415	0.7244683221	0.5467657323
416	0.724464562	0.5467197201
417	0.7245566082	0.5466797473
418	0.7245494905	0.5466352194
419	0.7246574301	0.5465904355
420	0.7246976103	0.5465446281
421	0.7247419921	0.5465064979
422	0.7247966256	0.5464672416
423	0.724749917	0.5464294697
424	0.7247494642	0.5463866307
425	0.7248134144	0.5463556659
426	0.7247209284	0.5463159491
427	0.7248292624	0.5462800196
428	0.7249054084	0.5462397398
429	0.7250216876	0.5461860504
430	0.7249698669	0.5461313885
431	0.725040811	0.5460946402
432	0.7250688235	0.5460471949
433	0.7250660368	0.5459985213
434	0.7250870057	0.5459543516
435	0.7250304949	0.5459229773
436	0.7250594459	0.5458885834
437	0.7250669488	0.5458492248
438	0.7250701483	0.5458095079
439	0.7251383018	0.5457645194
440	0.7251695814	0.5457197867
441	0.7251821992	0.5456838061
442	0.7252653657	0.5456368215
443	0.7253265325	0.5455968487
444	0.7253648275	0.5455601515
445	0.725397044	0.5455238638
446	0.7254899665	0.5454849147
447	0.7255688788	0.545445249
448	0.7255399414	0.5454087054
449	0.7256314478	0.5453655594
450	0.7256580608	0.5453313701
451	0.7256678665	0.5452956454
452	0.7256636614	0.5452637594
453	0.7257299521	0.545229263
454	0.7257626246	0.5451987588
455	0.7257644882	0.5451530025
456	0.7257350713	0.5451236755
457	0.7257929569	0.5450834469
458	0.7258251682	0.5450384583
459	0.7258195619	0.5449967454
460	0.7258396287	0.5449679814
461	0.7258419418	0.5449252448
462	0.7258428975	0.544884709
463	0.7258316553	0.5448457599
464	0.7258979331	0.5448027674
465	0.725867134	0.5447684246
466	0.7259403962	0.5447376133
467	0.7259422109	0.54468592
468	0.7260449325	0.5446473291
469	0.7259828572	0.5446081753
470	0.7260393214	0.544576801
471	0.7260822654	0.5445440448
472	0.7260341499	0.5445028949
473	0.7260845052	0.5444499732
474	0.7261601454	0.5444081067
475	0.7261424343	0.5443780632
476	0.7261284289	0.5443334329
477	0.7261111539	0.5442935625
