iter	Passed	Remaining
0	31	63640
1	60	60610
2	89	59774
3	118	59219
4	147	58654
5	175	58390
6	205	58381
7	232	57843
8	259	57466
9	288	57368
10	316	57270
11	344	57069
12	371	56838
13	399	56688
14	427	56638
15	457	56671
16	484	56563
17	513	56590
18	541	56455
19	569	56345
20	597	56266
21	626	56287
22	653	56157
23	683	56273
24	716	56580
25	745	56571
26	772	56480
27	800	56375
28	827	56226
29	854	56125
30	881	56012
31	913	56185
32	947	56487
33	975	56397
34	1005	56459
35	1033	56389
36	1063	56420
37	1092	56395
38	1118	56251
39	1146	56163
40	1173	56075
41	1202	56047
42	1230	55995
43	1258	55966
44	1286	55869
45	1333	56665
46	1362	56610
47	1388	56481
48	1416	56417
49	1445	56385
50	1472	56275
51	1501	56231
52	1529	56177
53	1556	56074
54	1584	56024
55	1611	55952
56	1640	55921
57	1667	55841
58	1695	55765
59	1722	55704
60	1751	55676
61	1778	55589
62	1805	55521
63	1834	55502
64	1862	55451
65	1890	55402
66	1918	55347
67	1947	55325
68	1975	55286
69	2003	55232
70	2031	55183
71	2059	55150
72	2087	55107
73	2118	55134
74	2147	55120
75	2174	55059
76	2202	54995
77	2229	54935
78	2258	54916
79	2285	54850
80	2312	54793
81	2340	54742
82	2368	54705
83	2396	54653
84	2424	54615
85	2452	54592
86	2480	54547
87	2507	54487
88	2535	54446
89	2564	54423
90	2594	54426
91	2623	54419
92	2655	54449
93	2683	54420
94	2711	54365
95	2739	54332
96	2766	54280
97	2796	54273
98	2824	54239
99	2853	54220
100	2883	54223
101	2911	54183
102	2939	54137
103	2966	54081
104	2995	54062
105	3025	54053
106	3053	54020
107	3099	54292
108	3126	54242
109	3153	54175
110	3180	54132
111	3210	54122
112	3240	54105
113	3266	54042
114	3293	53986
115	3321	53949
116	3348	53892
117	3376	53844
118	3403	53795
119	3429	53735
120	3457	53691
121	3485	53656
122	3513	53614
123	3543	53603
124	3570	53555
125	3596	53484
126	3626	53476
127	3653	53426
128	3681	53396
129	3709	53365
130	3738	53331
131	3766	53298
132	3793	53253
133	3821	53219
134	3848	53166
135	3876	53126
136	3904	53099
137	3931	53052
138	3959	53013
139	3987	52976
140	4015	52944
141	4043	52908
142	4071	52877
143	4101	52866
144	4131	52854
145	4163	52870
146	4195	52881
147	4221	52825
148	4249	52792
149	4276	52744
150	4304	52710
151	4330	52655
152	4360	52636
153	4387	52596
154	4413	52540
155	4441	52497
156	4467	52445
157	4494	52398
158	4521	52356
159	4549	52319
160	4578	52293
161	4605	52247
162	4632	52202
163	4660	52171
164	4688	52136
165	4718	52125
166	4745	52081
167	4772	52040
168	4801	52016
169	4828	51972
170	4874	52139
171	4901	52093
172	4928	52045
173	4955	52001
174	4983	51973
175	5010	51931
176	5038	51895
177	5065	51848
178	5093	51815
179	5118	51755
180	5145	51707
181	5172	51665
182	5200	51636
183	5226	51582
184	5251	51525
185	5278	51483
186	5305	51434
187	5331	51383
188	5358	51349
189	5385	51308
190	5414	51277
191	5446	51288
192	5474	51257
193	5502	51225
194	5531	51201
195	5560	51177
196	5586	51124
197	5613	51092
198	5640	51050
199	5666	51000
200	5695	50974
201	5723	50940
202	5749	50897
203	5776	50852
204	5804	50825
205	5831	50788
206	5858	50748
207	5885	50709
208	5912	50670
209	5939	50630
210	5967	50598
211	5994	50560
212	6020	50509
213	6046	50459
214	6074	50429
215	6103	50410
216	6131	50380
217	6159	50349
218	6185	50303
219	6212	50267
220	6239	50224
221	6265	50180
222	6293	50150
223	6319	50101
224	6348	50081
225	6377	50061
226	6403	50016
227	6430	49974
228	6455	49922
229	6481	49878
230	6505	49822
231	6533	49789
232	6559	49745
233	6590	49741
234	6625	49762
235	6652	49727
236	6680	49694
237	6707	49656
238	6734	49619
239	6759	49569
240	6787	49537
241	6813	49498
242	6839	49452
243	6866	49418
244	6892	49371
245	6922	49357
246	6949	49324
247	6978	49297
248	7008	49285
249	7037	49261
250	7062	49215
251	7089	49175
252	7116	49139
253	7141	49091
254	7168	49053
255	7195	49016
256	7220	48971
257	7248	48939
258	7275	48909
259	7305	48890
260	7332	48855
261	7363	48846
262	7393	48833
263	7421	48803
264	7448	48767
265	7479	48759
266	7510	48749
267	7540	48734
268	7567	48696
269	7592	48649
270	7617	48600
271	7645	48570
272	7672	48533
273	7697	48488
274	7724	48452
275	7750	48410
276	7776	48371
277	7802	48332
278	7828	48289
279	7853	48245
280	7881	48213
281	7909	48185
282	7935	48145
283	7961	48104
284	7986	48061
285	8013	48026
286	8042	48001
287	8066	47952
288	8092	47910
289	8118	47868
290	8143	47827
291	8172	47805
292	8198	47762
293	8223	47720
294	8250	47687
295	8279	47662
296	8305	47625
297	8332	47588
298	8371	47627
299	8398	47593
300	8424	47550
301	8450	47512
302	8479	47490
303	8504	47445
304	8531	47411
305	8557	47372
306	8583	47334
307	8611	47304
308	8637	47269
309	8664	47236
310	8690	47194
311	8717	47161
312	8743	47123
313	8769	47088
314	8797	47061
315	8823	47019
316	8848	46979
317	8876	46950
318	8903	46918
319	8930	46885
320	8956	46848
321	8982	46811
322	9009	46774
323	9035	46740
324	9062	46704
325	9088	46670
326	9114	46629
327	9141	46600
328	9167	46562
329	9195	46534
330	9222	46504
331	9251	46479
332	9278	46446
333	9304	46413
334	9331	46378
335	9358	46347
336	9384	46311
337	9410	46270
338	9435	46230
339	9467	46221
340	9494	46190
341	9520	46156
342	9546	46118
343	9572	46083
344	9598	46042
345	9624	46007
346	9650	45969
347	9677	45939
348	9707	45921
349	9733	45888
350	9759	45850
351	9784	45809
352	9810	45774
353	9838	45744
354	9863	45704
355	9891	45679
356	9918	45648
357	9946	45620
358	9973	45588
359	10000	45555
360	10025	45518
361	10067	45553
362	10092	45515
363	10120	45487
364	10147	45456
365	10174	45423
366	10199	45385
367	10228	45359
368	10255	45332
369	10282	45300
370	10309	45267
371	10335	45232
372	10363	45203
373	10390	45173
374	10415	45135
375	10445	45114
376	10476	45099
377	10504	45073
378	10530	45040
379	10558	45013
380	10585	44979
381	10611	44944
382	10635	44903
383	10661	44868
384	10690	44846
385	10721	44828
386	10750	44806
387	10777	44775
388	10803	44740
389	10831	44714
390	10858	44682
391	10885	44654
392	10913	44624
393	10944	44612
394	10972	44582
395	10996	44542
396	11023	44508
397	11048	44471
398	11075	44440
399	11101	44406
400	11129	44379
401	11155	44345
402	11183	44316
403	11210	44285
404	11237	44254
405	11263	44222
406	11289	44187
407	11316	44155
408	11341	44116
409	11367	44082
410	11393	44047
411	11419	44014
412	11446	43985
413	11474	43958
414	11500	43923
415	11527	43894
416	11558	43877
417	11588	43860
418	11618	43838
419	11645	43811
420	11674	43786
421	11704	43768
422	11732	43738
423	11759	43711
