iter	RMSE
0	0.70245435
1	0.6734750526
2	0.6496515353
3	0.6301517898
4	0.6130453863
5	0.5986365948
6	0.5872193431
7	0.5783193589
8	0.5702441501
9	0.5635561354
10	0.5581286538
11	0.5533566132
12	0.5494062804
13	0.5461054385
14	0.5432808547
15	0.5408234237
16	0.5385391004
17	0.5366044379
18	0.5349188084
19	0.533533066
20	0.5320943207
21	0.5308468007
22	0.5299247575
23	0.5289168914
24	0.5278386247
25	0.5270844277
26	0.5264063469
27	0.5255940275
28	0.5250465879
29	0.5244877485
30	0.5239029085
31	0.5234608214
32	0.5228606748
33	0.5224235149
34	0.5219097788
35	0.5214874516
36	0.5211916522
37	0.5208183995
38	0.520468245
39	0.5201524043
40	0.5198497573
41	0.5195547779
42	0.5192715285
43	0.5190185936
44	0.5187575333
45	0.5185652573
46	0.5183454976
47	0.5180207467
48	0.517785245
49	0.5175940108
50	0.5173123487
51	0.5171156788
52	0.5168936882
53	0.5166660431
54	0.5165202884
55	0.516360702
56	0.5161361187
57	0.5160061992
58	0.5158294553
59	0.515693973
60	0.5155389033
61	0.5153801486
62	0.5151749989
63	0.5149512456
64	0.5147768767
65	0.5146188768
66	0.5145118525
67	0.5143809959
68	0.5142880003
69	0.5142044312
70	0.5140910378
71	0.5140041682
72	0.5138467956
73	0.5137138918
74	0.5135175745
75	0.513378653
76	0.5133039099
77	0.5131816582
78	0.5130888044
79	0.5129474425
80	0.5128455643
81	0.5127660721
82	0.5125587976
83	0.5124078768
84	0.5122756365
85	0.5121305369
86	0.5120274589
87	0.5119303095
88	0.511863465
89	0.5117898983
90	0.511683532
91	0.5115707663
92	0.5114764757
93	0.5113611421
94	0.5113021301
95	0.5112126028
96	0.5111400451
97	0.5110379974
98	0.5109068876
99	0.5108532333
100	0.5107993189
101	0.5107265327
102	0.5106498095
103	0.5105477488
104	0.5104731008
105	0.5104371316
106	0.5103156375
107	0.5101894619
108	0.5100967221
109	0.5100226881
110	0.5099350616
111	0.509865362
112	0.5097654405
113	0.5096963982
114	0.5096121399
115	0.5094925125
116	0.5093514505
117	0.5092645174
118	0.5091973654
119	0.5091289273
120	0.5090275837
121	0.5089927475
122	0.5089235151
123	0.5088670319
124	0.5087901775
125	0.5087245608
126	0.5086746396
127	0.5086029772
128	0.5085722038
129	0.5085192198
130	0.5084458301
131	0.5083978642
132	0.5083502563
133	0.5083065673
134	0.5082474565
135	0.5081892346
136	0.508133907
137	0.5080703175
138	0.5080051626
139	0.5079273029
140	0.5078884219
141	0.5078185481
142	0.5077829032
143	0.5077197608
144	0.5076743737
145	0.5076434159
146	0.5075482035
147	0.5074898159
148	0.5074554936
149	0.5073930581
150	0.5073392886
151	0.5073001916
152	0.5072720954
153	0.507235301
154	0.5071854683
155	0.5070903195
156	0.5070425888
157	0.506977986
158	0.5068970177
159	0.5068837391
160	0.50682566
161	0.5067835719
162	0.5067112784
163	0.5066483662
164	0.5065680299
165	0.506494978
166	0.5064597322
167	0.5064021823
168	0.5063541727
169	0.5063149996
170	0.5062449087
171	0.5061993465
172	0.5061264984
173	0.5060898563
174	0.5060623355
175	0.5060286231
176	0.5059654546
177	0.5059395979
178	0.5058913516
179	0.5058627273
180	0.5058449219
181	0.5057892735
182	0.5057568931
183	0.5056850101
184	0.505657703
185	0.5056224203
186	0.5055977895
187	0.5055350602
188	0.5054672413
189	0.5054217591
190	0.5053718334
191	0.5053304607
192	0.5052797752
193	0.5052573587
194	0.505216985
195	0.5051595081
196	0.5051480076
197	0.5051108868
198	0.505061896
199	0.5050261854
200	0.5049735161
201	0.5049241685
202	0.5048925054
203	0.5048630086
204	0.5048537557
205	0.5048204564
206	0.5047798116
207	0.5047315188
208	0.5047099584
209	0.5046721181
210	0.5046506411
211	0.5046306667
212	0.5045848084
213	0.5045682683
214	0.5045528017
215	0.5045002979
216	0.5044468002
217	0.5044227136
218	0.5043802962
219	0.5043540789
220	0.5043142562
221	0.5042761928
222	0.5042303022
223	0.5041893948
224	0.5041624367
225	0.5041390891
226	0.5040997869
227	0.5040854455
228	0.5040691256
229	0.5040528911
230	0.5040180337
231	0.5039688721
232	0.5039135113
233	0.5038980031
234	0.5038706422
235	0.5038362239
236	0.5037945531
237	0.5037623026
238	0.503739044
239	0.5036999472
240	0.5036673249
241	0.503628115
242	0.5035887729
243	0.5035560142
244	0.5035326815
245	0.503521682
246	0.5034887037
247	0.5034719338
248	0.5034324073
249	0.503401447
250	0.5033844805
251	0.503329163
252	0.5032933509
253	0.5032697907
254	0.5032390788
255	0.503222193
256	0.5032005033
257	0.5031887426
258	0.5031670515
259	0.5031551609
260	0.5031247652
261	0.503082583
262	0.5030435214
263	0.503022255
264	0.502998682
265	0.5029618335
266	0.5029325253
267	0.5029052411
268	0.502879766
269	0.5028726965
270	0.5028263977
271	0.5027935677
272	0.5027452782
273	0.5027268235
274	0.5027204849
275	0.5027010806
276	0.5026662156
277	0.5026343024
278	0.5026057945
279	0.5025787514
280	0.5025473288
281	0.5025312393
282	0.5025220512
283	0.5024981959
284	0.5024730453
285	0.5024520567
286	0.5024471815
287	0.5024382723
288	0.5024183178
289	0.5023837568
290	0.5023753427
291	0.5023350179
292	0.5023111106
293	0.5022922299
294	0.5022829728
295	0.5022700469
296	0.5022486614
297	0.5022267139
298	0.5022141319
299	0.5021862908
300	0.5021672328
301	0.5021189477
302	0.5020944905
303	0.5020893312
304	0.5020742848
305	0.5020400024
306	0.5020168151
307	0.5019902369
308	0.5019747557
309	0.5019714089
310	0.5019443965
311	0.5019238393
312	0.501909263
313	0.5019012945
314	0.5018680801
315	0.5018492259
316	0.5018370017
317	0.5018324013
318	0.501793048
319	0.5017776039
320	0.501755571
321	0.5017477512
322	0.501722347
323	0.5016982808
324	0.5016727444
325	0.5016368141
326	0.5016268102
327	0.5016150342
328	0.5015948741
329	0.501581131
330	0.5015758152
331	0.5015610127
332	0.5015247718
333	0.5015123235
334	0.5014720374
335	0.5014495371
336	0.5014266251
337	0.5013992807
338	0.5013849269
