iter	TotalF1:average=Macro	MultiClassOneVsAll
0	0.529805959	0.6886378125
1	0.5283118105	0.68429496
2	0.544364822	0.6791904049
3	0.5520883936	0.6742688572
4	0.5519966395	0.6695267226
5	0.5519882704	0.6649535239
6	0.5520418171	0.6605375602
7	0.5521002502	0.6562799787
8	0.5585754116	0.6521649487
9	0.552250642	0.6481956059
10	0.558792264	0.6443581844
11	0.5586557912	0.6406531432
12	0.5526349981	0.6370737524
13	0.558772467	0.6335971073
14	0.5586995696	0.6302447742
15	0.5592697992	0.6269927779
16	0.5593585369	0.6238484218
17	0.5593093759	0.6208100999
18	0.5609745822	0.6178635876
19	0.5609963189	0.6150133971
20	0.5618090525	0.612196512
21	0.5628390727	0.6084380139
22	0.564195135	0.6047523212
23	0.5703977607	0.601187805
24	0.5756581489	0.5977664522
25	0.5821847497	0.5944265465
26	0.5868214076	0.5912181416
27	0.5870251025	0.5880836509
28	0.5936026378	0.5850480821
29	0.5936178052	0.5821350664
30	0.5940868757	0.579313325
31	0.5941662191	0.5765631271
32	0.5986647242	0.5739130365
33	0.6002780193	0.5713263829
34	0.6084553767	0.5687938361
35	0.608550124	0.566338798
36	0.6099822786	0.5639596625
37	0.6117176636	0.561636431
38	0.612166345	0.5594186602
39	0.6121708032	0.5572652824
40	0.6122345134	0.5551558018
41	0.6127162357	0.5531221857
42	0.6127037457	0.5511292166
43	0.6127585295	0.5491947135
44	0.6128043654	0.5472975309
45	0.6128370744	0.5454671119
46	0.6127801163	0.5436809726
47	0.6134934534	0.5419327273
48	0.6136851863	0.5402523928
49	0.6136115224	0.5386137761
50	0.6120878654	0.537017986
51	0.6120261279	0.5354789795
52	0.6121201666	0.533974349
53	0.613618353	0.5324959881
54	0.6136314089	0.5310632069
55	0.6137647854	0.5296808236
56	0.6137985809	0.5283240981
57	0.6130820121	0.5269800293
58	0.6139425195	0.5254372372
59	0.6143404189	0.5239030487
60	0.6152829626	0.5224122222
61	0.6156483099	0.5209639164
62	0.6166923879	0.5194399374
63	0.6189028872	0.517960047
64	0.616510867	0.516525354
65	0.6169472585	0.5151331435
66	0.617797188	0.5137805094
67	0.6187036457	0.5124696695
68	0.6201324804	0.511193091
69	0.6227566997	0.5099536799
70	0.6266079468	0.5087523539
71	0.62687284	0.5075883483
72	0.6288970879	0.5064553538
73	0.6295080555	0.5053464875
74	0.6296270965	0.5042756299
75	0.6294013737	0.5032252679
76	0.6294437371	0.5022168531
77	0.6309538799	0.5010308988
78	0.6313603354	0.4998676962
79	0.6320697192	0.49856676
80	0.6324397801	0.497303909
81	0.6331941828	0.4960780341
82	0.6337730761	0.4948897474
83	0.6348203991	0.4937364867
84	0.6349109115	0.4926875395
85	0.6364026728	0.4915960333
86	0.6369073515	0.4905928953
87	0.6375457142	0.4895615759
88	0.6374826075	0.4886060443
89	0.637824896	0.4876982339
90	0.6380853871	0.4867422817
91	0.6388009201	0.485888387
92	0.6390035528	0.4850266917
93	0.6402592588	0.4842097732
94	0.6405751695	0.4834186654
95	0.6407705252	0.4825547524
96	0.6408390141	0.481782993
97	0.6407594011	0.4809724603
98	0.6422404581	0.4801901091
99	0.6431654704	0.479432039
100	0.6437930421	0.4786992061
101	0.6440294567	0.4779844215
102	0.6457060325	0.4772918533
103	0.64779675	0.4766237192
104	0.6479527516	0.4759646858
105	0.6486951925	0.4753282893
106	0.6486940182	0.4747029818
107	0.6491116423	0.4741176714
108	0.6495721835	0.4735236428
109	0.64999871	0.4729807766
110	0.6503937523	0.4724437227
111	0.6511733878	0.4719238759
112	0.6517256151	0.4713728269
113	0.6519279691	0.470816348
114	0.6524883954	0.4703143966
115	0.6526328725	0.4697328718
116	0.6529573359	0.4692542074
117	0.6533115133	0.4687287014
118	0.6532368077	0.4682929784
119	0.6535005547	0.4678453633
120	0.6540596992	0.4673481535
121	0.6542336198	0.4668674243
122	0.6546314248	0.4664025256
123	0.6547936503	0.4659525016
124	0.6550243497	0.4655136813
125	0.6553874352	0.4650874413
126	0.6554891876	0.4646750818
127	0.6554925115	0.4642380969
128	0.6555645522	0.4638644726
129	0.6555762695	0.4635035433
130	0.6556813433	0.4631242979
131	0.6556619153	0.4626990522
132	0.6558240807	0.4623377405
133	0.6561477102	0.4619774612
134	0.65650083	0.4616470842
135	0.6569255493	0.4613013354
136	0.6568694945	0.4609104657
137	0.6567343445	0.4605996665
138	0.6569909836	0.4603230522
