iter	TotalF1:average=Macro	MultiClassOneVsAll
0	0.591832658	0.6899577445
1	0.5918388403	0.6868301698
2	0.5918388403	0.6837646325
3	0.5918388403	0.6807597725
4	0.5918388403	0.677813015
5	0.5918388403	0.6749233397
6	0.5918454534	0.6720889978
7	0.5918454534	0.6693081919
8	0.5918454534	0.6665818934
9	0.5918454534	0.6639061674
10	0.5918388403	0.6612813054
11	0.5918384809	0.6587052183
12	0.5918384809	0.6561767404
13	0.5918384809	0.6536952399
14	0.5918631289	0.6512596481
15	0.5919518689	0.6488685077
16	0.5919518689	0.6465198267
17	0.5923149149	0.6442126823
18	0.5925036859	0.6419475601
19	0.5923248563	0.6397233914
20	0.5924919134	0.6375377472
21	0.5925278546	0.6353920848
22	0.5925038011	0.6332841697
23	0.5925488882	0.6312116699
24	0.5925954957	0.6291769658
25	0.592675025	0.627176171
26	0.5926758161	0.6252109373
27	0.5928276348	0.6232800986
28	0.5926897461	0.6213814204
29	0.5930827885	0.619453691
30	0.5930765077	0.6176132124
31	0.5942073412	0.61580538
32	0.5939833946	0.614027279
33	0.5943347334	0.6122837189
34	0.5939945221	0.6105695014
35	0.5939835624	0.6088841409
36	0.5943981608	0.607169292
37	0.5950152151	0.6054794135
38	0.5953638201	0.6033411354
39	0.5962833489	0.6012359893
40	0.5972627034	0.5991644611
41	0.5985091215	0.5971279595
42	0.5989045316	0.595131537
43	0.5995890167	0.5931683923
44	0.601308625	0.5912356104
45	0.6013926079	0.5893146822
46	0.6033418614	0.5874263517
47	0.6023102438	0.5855735822
48	0.602473839	0.5837683732
49	0.6028264336	0.5819904665
50	0.6043509652	0.5802451575
51	0.6090855732	0.5785258391
52	0.6094618024	0.5768180343
53	0.6116889156	0.575154195
54	0.6178100461	0.5735210587
55	0.6185566657	0.5719122614
56	0.6195769383	0.5703302805
57	0.620372165	0.568774679
58	0.620919221	0.5672415217
59	0.622994525	0.5657357153
60	0.6230410255	0.5642336497
61	0.623344276	0.5627345475
62	0.6235606073	0.5612950051
63	0.6237294619	0.5598834938
64	0.6258200868	0.5584953984
65	0.6266421902	0.5571291643
66	0.6270893569	0.5557838685
67	0.6281094255	0.5544282736
68	0.6283844856	0.5531174214
69	0.6284313469	0.5518362035
70	0.6286523713	0.5505655275
71	0.6286056163	0.5492904794
72	0.6356713593	0.5480333088
73	0.635774649	0.5467822109
74	0.6357685766	0.545583823
75	0.6359478263	0.5444155066
76	0.6358088162	0.5432536513
77	0.6359422038	0.542113706
78	0.6358970594	0.5409633158
79	0.6358832318	0.5398532961
80	0.6358880846	0.5387354064
81	0.6360476759	0.5376350543
82	0.6361805228	0.5365678342
83	0.6361440463	0.535518929
84	0.6360502417	0.5344832377
85	0.6361296703	0.5334658128
86	0.6358844294	0.532446639
87	0.6358778131	0.5314557391
88	0.6358475896	0.5304798993
89	0.6359764858	0.5295198481
90	0.635996472	0.528581221
91	0.636175999	0.5276557593
92	0.636149237	0.5267155777
93	0.6361912823	0.5258135319
94	0.6345184683	0.5249238255
95	0.6346104621	0.5240427665
96	0.6348153935	0.5231859007
97	0.6348483817	0.5223384596
98	0.634920755	0.521502192
99	0.6362276386	0.5205760501
100	0.6363605797	0.5196776964
101	0.6360456268	0.5187787598
102	0.6360999314	0.5178947374
103	0.636170911	0.5170371914
104	0.6364024536	0.5161976689
105	0.6369437168	0.5153670852
106	0.6374078319	0.5145516102
107	0.6371659028	0.5137318114
108	0.6372445257	0.5129363516
109	0.6374025431	0.5121398715
110	0.6376170011	0.5113722484
111	0.6375384192	0.5106106493
112	0.637800969	0.5098651789
113	0.6378071493	0.50912685
114	0.6385203029	0.5084011034
115	0.6388190754	0.5076859959
116	0.6387379045	0.5069676336
117	0.6387610846	0.5062759907
118	0.6391607695	0.5055771578
119	0.6392525835	0.5049030038
120	0.6393090198	0.5042347768
121	0.6391377886	0.5035752456
122	0.6391959963	0.5029205726
123	0.6391690614	0.5022822226
124	0.6392169587	0.5016308044
125	0.6393454589	0.5009837099
126	0.6392420416	0.5003662011
127	0.6392744014	0.4996695057
128	0.6399537954	0.4989741221
129	0.6400216113	0.4982839365
130	0.6403712254	0.4976099769
131	0.6409881982	0.4969399524
132	0.6409898284	0.4962877083
133	0.6413954549	0.4956373589
134	0.6419253786	0.4950027011
135	0.6416271173	0.4943549265
136	0.6416347593	0.4937182768
137	0.6419821456	0.4931108242
138	0.6420589252	0.4925092012
139	0.6419808251	0.4918969876
140	0.6421771785	0.4913156228
141	0.642734824	0.4907251733
142	0.6432786442	0.4901517271
143	0.6432498694	0.4895937782
144	0.6432606942	0.4890441851
145	0.6433715899	0.4884981384
146	0.6433119583	0.4879451932
147	0.6435421946	0.4874137207
148	0.6436634241	0.4868967253
149	0.6438184529	0.4863648641
150	0.6441296736	0.4858388327
151	0.6442072586	0.4853382089
152	0.6443914059	0.4848267516
153	0.6445361359	0.4843409935
154	0.6444307813	0.4838619882
155	0.6445699195	0.483404504
156	0.6445681926	0.4829547442
157	0.6446200952	0.4825115428
158	0.644479933	0.4820755799
159	0.6455810748	0.4816247027
160	0.6455451725	0.481179558
161	0.6455181805	0.4807618129
162	0.6456069877	0.4803351775
163	0.6458967071	0.4799148575
164	0.6460105435	0.4794929344
165	0.6460504864	0.4790613438
166	0.6460731627	0.4786705609
167	0.6462188071	0.4782528157
168	0.6463978567	0.4778710689
169	0.646430949	0.4774961233
170	0.6465354388	0.4771029599
171	0.646570096	0.4766799681
172	0.6466073735	0.4762752425
173	0.6466855818	0.4758911152
174	0.6466944075	0.4754967373
175	0.6467981549	0.4750964326
176	0.6471767292	0.4747261022
177	0.647476373	0.4742515177
178	0.6476943708	0.4738002518
179	0.6479790026	0.4733376667
180	0.6480581465	0.4728826116
181	0.6481391687	0.4724529642
182	0.647937555	0.4720292922
183	0.6480832906	0.4716131016
184	0.6483096528	0.471186369
185	0.6483626899	0.4707689154
186	0.6485502216	0.4703576314
187	0.6487500936	0.4699531488
188	0.6487748047	0.4695657666
189	0.6491509821	0.4691859143
190	0.6493978304	0.4688047018
191	0.6495428488	0.4684224691
192	0.6497052274	0.4680597659
193	0.6500172687	0.4677189239
194	0.6502594467	0.4673649652
195	0.6508157093	0.4670263093
196	0.6510864121	0.46668435
197	0.6510836747	0.4663305856
198	0.6510049453	0.4659915411
199	0.6515754943	0.4656066851
200	0.6516553689	0.4652151249
201	0.6518439174	0.4648302689
202	0.6521998529	0.4644861234
203	0.6519087814	0.4641248776
204	0.6524221241	0.4637816552
205	0.6525114893	0.463413608
206	0.6531047766	0.4630521193
207	0.6533443975	0.4626956343
208	0.6536185556	0.4623782568
209	0.6539243302	0.4620468881
210	0.6540916373	0.4617303365
211	0.6543260015	0.4614210234
212	0.6547298685	0.461117297
213	0.6553360225	0.4607920009
214	0.6551311848	0.4604762751
215	0.6554963748	0.4601906694
216	0.6556601015	0.4599109419
217	0.6557304946	0.4596135311
218	0.6560264846	0.4593096104
219	0.6564519774	0.4590329921
220	0.6568079254	0.4587395649
221	0.6576836512	0.458469845
222	0.6579401675	0.458184385
223	0.6582287755	0.4579101957
224	0.6583510961	0.4576348891
225	0.6586661264	0.4573478259
226	0.6587182903	0.4570579937
227	0.6589770066	0.4567774889
228	0.6599121037	0.4565033968
229	0.660813397	0.4562316365
230	0.6609497611	0.455947391
231	0.6611331893	0.4556842295
232	0.6612697306	0.4554192706
233	0.6616043801	0.4551594126
234	0.6617044968	0.4548843003
235	0.6617637084	0.4546330411
236	0.6618329237	0.4543887289
237	0.6618993655	0.4541428136
238	0.6621356769	0.4539127841
239	0.6626893176	0.4536485053
240	0.6628061165	0.4533902019
241	0.6628119839	0.4531609011
242	0.6629480158	0.4529309202
243	0.6631786804	0.452691709
244	0.6631530545	0.4524696954
245	0.6633448539	0.4522502079
246	0.6634223786	0.4520059929
247	0.6634955507	0.4517653729
248	0.6637535053	0.4515555044
249	0.6637746712	0.4513224629
250	0.6639144083	0.4510984089
251	0.664061984	0.4508905322
252	0.6640906105	0.4506927603
253	0.6641595527	0.4504730785
254	0.6642679748	0.4502630643
255	0.6644007058	0.4500703448
256	0.6645238584	0.4498784512
257	0.6645352298	0.4497006945
258	0.6646209638	0.4495125902
259	0.6646029177	0.4493084056
260	0.6646992977	0.4491113624
261	0.6648303661	0.448937638
262	0.6647515561	0.4487602214
263	0.6653789527	0.4485348557
264	0.6656877767	0.4483263474
265	0.6660742603	0.4481201711
266	0.6664009115	0.447903307
267	0.6674757886	0.4477005799
268	0.667582787	0.4474867278
269	0.6681363462	0.4472868669
270	0.6682708154	0.44710022
271	0.6683386575	0.4468955982
272	0.6684509379	0.4467015184
273	0.6687105055	0.4465137056
274	0.6689916011	0.4463182656
275	0.6693964875	0.4461407032
276	0.6696335911	0.4459702337
277	0.6700114396	0.4457933514
278	0.6701825701	0.445618121
279	0.6702899916	0.4454362835
280	0.6705363521	0.4452784935
281	0.670749269	0.445111376
282	0.6711019999	0.4449458131
283	0.6712708467	0.4447722344
284	0.6712414719	0.4446143958
285	0.6715335453	0.4444316353
286	0.6717136517	0.4442532471
287	0.671897933	0.4440959429
288	0.6719354484	0.4439489378
289	0.6721893355	0.4437913421
290	0.6721891876	0.4436480292
291	0.6722732004	0.4434460793
