iter	Passed	Remaining
0	92	92489
1	177	88560
2	256	85124
3	334	83308
4	412	82181
5	468	77564
6	546	77590
7	614	76155
8	683	75210
9	748	74124
10	805	72383
11	872	71848
12	940	71393
13	1020	71860
14	1099	72228
15	1154	70995
16	1206	69762
17	1261	68816
18	1339	69144
19	1405	68874
20	1472	68633
21	1523	67738
22	1591	67587
23	1667	67809
24	1735	67679
25	1811	67870
26	1864	67182
27	1930	67032
28	1985	66490
29	2065	66798
30	2134	66724
31	2203	66652
32	2271	66549
33	2324	66029
34	2399	66155
35	2480	66409
36	2534	65965
37	2586	65490
38	2653	65376
39	2728	65486
40	2792	65319
41	2872	65518
42	2938	65399
43	2995	65084
44	3062	64988
45	3130	64926
46	3212	65136
47	3290	65270
48	3357	65153
49	3433	65232
50	3485	64857
51	3553	64784
52	3629	64854
53	3698	64787
54	3775	64876
55	3851	64919
56	3901	64549
57	3973	64533
58	4029	64261
59	4082	63951
60	4136	63674
61	4186	63338
62	4254	63275
63	4330	63339
64	4385	63084
65	4461	63143
66	4529	63073
67	4581	62800
68	4657	62848
69	4709	62574
70	4764	62337
71	4817	62092
72	4883	62012
73	4936	61770
74	5012	61820
75	5063	61557
76	5139	61603
77	5208	61567
78	5273	61479
79	5326	61256
80	5405	61328
81	5472	61269
82	5548	61302
83	5602	61094
84	5667	61009
85	5721	60810
86	5800	60866
87	5877	60911
88	5943	60837
89	5995	60625
90	6048	60413
91	6125	60460
92	6193	60403
93	6249	60234
94	6331	60315
95	6410	60369
96	6463	60169
97	6539	60194
98	6615	60210
99	6667	60007
100	6722	59835
101	6799	59857
102	6877	59894
103	6931	59719
104	7007	59732
105	7085	59758
106	7166	59812
107	7242	59816
108	7293	59616
109	7370	59634
110	7422	59443
111	7479	59298
112	7546	59239
113	7612	59166
114	7665	58992
115	7743	59008
116	7795	58829
117	7872	58845
118	7939	58781
119	8008	58728
120	8074	58655
121	8126	58486
122	8181	58333
123	8233	58167
124	8286	58006
125	8362	58006
126	8429	57946
127	8500	57910
128	8553	57750
129	8618	57674
130	8675	57551
131	8753	57559
132	8832	57578
133	8913	57608
134	8981	57548
135	9059	57556
136	9112	57402
137	9192	57420
138	9269	57415
139	9336	57351
140	9418	57377
141	9480	57286
142	9550	57235
143	9604	57095
144	9658	56949
145	9739	56971
146	9808	56918
147	9859	56759
148	9909	56599
149	9988	56598
150	10067	56603
151	10125	56491
152	10197	56451
153	10263	56384
154	10322	56272
155	10374	56127
156	10450	56115
157	10502	55969
158	10555	55829
159	10634	55831
160	10700	55762
161	10754	55630
162	10820	55561
163	10887	55499
164	10951	55423
165	11017	55354
166	11084	55291
167	11134	55142
168	11210	55123
169	11288	55114
170	11366	55105
171	11446	55102
172	11500	54978
173	11556	54858
174	11609	54729
175	11686	54713
176	11754	54656
177	11826	54615
178	11904	54599
179	11973	54546
180	12049	54524
181	12106	54414
182	12163	54302
183	12240	54282
184	12292	54155
185	12358	54086
186	12411	53961
187	12480	53906
188	12532	53776
189	12586	53659
190	12653	53597
191	12705	53467
192	12759	53352
193	12840	53347
194	12892	53224
195	12970	53207
196	13028	53105
197	13080	52983
198	13134	52869
199	13200	52803
200	13250	52674
201	13318	52614
202	13370	52494
203	13434	52421
204	13489	52314
205	13570	52306
206	13625	52198
207	13679	52087
208	13731	51970
209	13799	51913
210	13864	51843
211	13920	51743
212	13973	51630
213	14040	51570
214	14096	51469
215	14164	51410
216	14217	51301
217	14273	51201
218	14330	51105
219	14408	51086
220	14466	50993
221	14522	50893
222	14573	50778
223	14627	50673
224	14695	50616
225	14772	50592
226	14828	50494
227	14909	50483
228	14991	50473
229	15042	50359
230	15093	50244
231	15144	50133
232	15195	50021
233	15249	49918
234	15327	49894
235	15405	49873
236	15460	49775
237	15525	49708
238	15580	49610
239	15636	49514
240	15705	49463
241	15760	49366
242	15818	49278
243	15877	49195
244	15951	49158
245	16032	49139
246	16088	49046
247	16167	49022
248	16235	48965
249	16288	48864
250	16367	48840
251	16447	48820
252	16503	48728
253	16563	48646
254	16619	48556
255	16701	48537
256	16755	48440
257	16824	48386
258	16881	48297
259	16935	48202
260	16988	48100
261	17053	48035
262	17135	48017
263	17191	47926
264	17244	47830
265	17303	47747
266	17370	47686
267	17425	47595
268	17480	47503
269	17551	47453
270	17606	47363
271	17660	47267
272	17715	47177
273	17789	47136
274	17845	47047
275	17901	46958
276	17979	46928
277	18034	46838
278	18116	46816
279	18184	46760
280	18235	46659
281	18301	46597
282	18353	46499
283	18405	46402
284	18463	46321
285	18529	46259
286	18584	46170
287	18655	46121
288	18724	46066
289	18795	46017
290	18873	45984
291	18933	45907
292	19016	45885
293	19074	45803
294	19149	45764
295	19232	45741
296	19298	45679
297	19357	45599
298	19423	45537
299	19480	45453
